stop_name,routes,stop_lon,stop_lat
"Alpes","01,25 (01 (Hôpital Trois-Chêne),25 (Thônex-Vallard))",6.147194490226451,46.20905612073045
"Forumeyrin","57,NA,14 (57 (ZIMEYSA-Gare),NA (CERN/Sergy-Centre),14 (Meyrin-Gravière))",6.080766163651713,46.23090617433476
"Nations","F,20 (F (Gare Cornavin),20 (Place de Neuve))",6.139111638572855,46.22263048885804
"Cessy-Centre","F,NE (F (Ferney-Mairie/Gex-L'Aiglette),NE (Gex-Centre))",6.066754064816616,46.31411834033531
"Landecy-La Mûre","62 (62 (ZIPLO))",6.133405348540792,46.14258498553609
"Roselière","52 (52 (Genthod-le-Haut))",6.141313025747349,46.25448404398748
"Cessy-Saint-Denis","F,NE (F (Ferney-Mairie/Gex-L'Aiglette),NE (Gex-Centre))",6.070375430730088,46.31885492283524
"Jardin-Alpin-Vivarium","NA (NA (CERN/Sergy-Centre))",6.082927401127408,46.22648600112844
"Bernex-Mairie","NJ,47,L (NJ (Rive),47 (Confignon-Croisée),L (Confignon-Croisée))",6.073306981207146,46.17535308640278
"La Pralay","50,ND (50 (Versoix-Centre sportif),ND (Gland-Gare))",6.158416138031172,46.26879816075998
"La Blanche","33,NP,38 (33 (Puplinge-Marquis),NP (Anières-Mairie),38 (Place Favre))",6.208222201724663,46.21910226936365
"Aire-la-Ville-Croisée","NJ,70 (NJ (Chancy-Douane),70 (Confignon-Croisée))",6.045830310500149,46.18837154549362
"Maison des Parlements","03,22 (03 (Crêts-de-Champel),22 (ZIPLO))",6.12386532973628,46.22577591296329
"Genève-Champel-Gare/Hôpital","A6,35 (A6 (Fret),35 (Sainte-Clotilde))",6.151062384361552,46.19335759649369
"Blandonnet","57,56,53,23 (57 (ZIMEYSA-Gare),56 (Hôpital de La Tour),53 (Vernier-Parfumerie),23 (Carouge-Tours))",6.097161934585863,46.22199772320391
"Val-d'Arve","07,11,NO (07 (Lignon-Tours),11 (Jardin Botanique),NO (Veryrier-Tournettes/Bardonnex))",6.149778635168808,46.18474416984699
"Bouchet","51,53,A2,NA,10 (51 (Mervelet),53 (Vernier-Parfumerie),A2 (Fret),NA (CERN/Sergy-Centre),10 (Genève-Aéroport-Terminal))",6.117935836131804,46.2166535930288
"Collonges-Marché","M,62 (M (Collonges-Bourg d'en Haut),62 (Collonges-Marché))",6.138920950133157,46.14194561318906
"Vandoeuvres-Village","33,38 (33 (Rive),38 (Hermance-Village/Chens-sur-Léman))",6.202831245995152,46.2213998019742
